t,kid_k,c_parameter,I_predict,W_cost,eta_thermo,eta_toast,magnetization,correlation_length,energy
4150,0.002502314116557236,0.0005004628233114471,0.1251157058278618,0.01,12.51157058278618,0.0019998490921118404,0.06666666666666667,1,6.0
4200,0.0028662413754401593,0.0005732482750880318,0.14331206877200797,12.01,0.01193272845728626,0.002290366450472492,0.0,0,6.0
4250,0.01452297344505118,0.002904594689010236,0.726148672252559,4.01,0.18108445692083766,0.011551178320156718,0.3333333333333333,1,-6.0
4300,0.0005820174557850333,0.00011640349115700666,0.029100872789251664,0.01,2.9100872789251664,0.00046550558536995147,0.06666666666666667,1,-2.0
4350,4.328157260304888e-05,8.656314520609775e-06,0.002164078630152444,8.01,0.00027017211362702175,3.462465863597397e-05,0.0,0,2.0
4400,0.0012940691863721821,0.0002588138372744364,0.0647034593186091,12.01,0.00538746538872682,0.001034719680245564,0.06666666666666667,1,-10.0
4450,0.0008381878573142654,0.00016763757146285308,0.04190939286571327,8.01,0.005232133940788174,0.0006703255235279788,0.06666666666666667,1,-6.0
4500,0.003721912246244008,0.0007443824492488016,0.1860956123122004,4.01,0.046407883369626035,0.00297310189983576,0.26666666666666666,1,-2.0
4550,8.483323975014834e-05,1.696664795002967e-05,0.004241661987507417,12.01,0.0003531775176942062,6.786428892158578e-05,0.13333333333333333,1,-10.0
4600,0.001423470119454029,0.0002846940238908058,0.07117350597270145,12.01,0.0059261870085513275,0.0011381279668559955,0.26666666666666666,1,2.0
4650,0.0012626837041554318,0.00025253674083108635,0.06313418520777159,8.01,0.007881920750033905,0.001009636958081312,0.2,1,2.0
4700,0.009515153679578914,0.0019030307359157827,0.4757576839789457,16.01,0.029716282572076556,0.0075832332289623,0.4666666666666667,3,-6.0
4750,0.013890477398087997,0.0027780954796175995,0.6945238699043998,8.01,0.08670709986322096,0.011050895742690081,0.3333333333333333,3,-6.0
4800,0.0005820174557850333,0.00011640349115700666,0.029100872789251664,4.01,0.007257075508541562,0.00046550558536995147,0.06666666666666667,0,2.0
4850,0.004933779952333461,0.0009867559904666924,0.24668899761667307,0.01,24.668899761667305,0.0039392459771409255,0.2,1,2.0
4900,0.00563702647571025,0.0011274052951420498,0.2818513237855125,4.01,0.07028711316346944,0.004499470008922909,0.06666666666666667,2,10.0
4950,0.0021224970690740808,0.00042449941381481613,0.10612485345370404,0.01,10.612485345370404,0.001696556974657627,0.2,2,2.0
5000,1.5581199929615153e-05,3.1162399859230304e-06,0.0007790599964807576,8.01,9.72609234058374e-05,1.2464882256442065e-05,0.06666666666666667,2,-6.0
