t,kid_k,c_parameter,mean_ai,max_ai,entropy_production,eta_toast
37600,167.88,16.788,0.0,0,0.0,0.2122289914915744
37700,168.38,16.838,0.0,0,0.0,0.21166944804947507
37800,168.9,16.89,0.0,0,0.0,0.211090631806509
37900,169.34,16.934,0.0,0,0.0,0.2106033213066574
38000,169.78,16.978,0.0,0,0.0,0.21011824677225985
38100,170.16,17.016,0.0,0,0.0,0.20970110641734682
38200,170.54,17.054,0.0,0,0.0,0.20928561263024809
38300,170.86,17.086000000000002,0.0,0,0.0,0.20893699312128203
38400,171.44,17.144,0.0,0,0.0,0.20830806030688456
38500,171.76,17.176,0.0,0,0.0,0.20796267481650466
38600,172.08,17.208000000000002,0.0,0,0.0,0.20761842840861003
38700,172.58,17.258000000000003,0.0,0,0.0,0.20708281048163477
38800,173.02,17.302,0.0,0,0.0,0.2066137389825063
38900,173.42,17.342,0.0,0,0.0,0.2061891436909695
39000,173.86,17.386000000000003,0.0,0,0.0,0.2057240924222999
39100,174.36,17.436,0.0,0,0.0,0.20519815556091472
39200,174.86,17.486,0.0,0,0.0,0.2046748910951311
39300,175.26,17.526,0.0,0,0.0,0.2042581900442395
39400,175.68,17.568,0.0,0,0.0,0.2038224695152682
39500,175.92,17.592,0.0,0,0.0,0.2035743169382719
39600,176.28,17.628,0.0,0,0.0,0.2032032148805064
39700,176.72,17.672,0.0,0,0.0,0.20275147240340438
39800,177.28,17.728,0.0,0,0.0,0.20217941379283288
39900,177.72,17.772,0.0,0,0.0,0.20173219073213347
40000,178.2,17.82,0.0,0,0.0,0.2012465541327256
40100,178.72,17.872,0.0,0,0.0,0.20072307026870836
40200,179.1,17.91,0.0,0,0.0,0.20034223733955353
40300,179.56,17.956,0.0,0,0.0,0.19988315139988783
40400,179.94,17.994,0.0,0,0.0,0.19950548495393916
40500,180.46,18.046,0.0,0,0.0,0.198990977028385
40600,180.92,18.092,0.0,0,0.0,0.19853803491416228
40700,181.28,18.128,0.0,0,0.0,0.19818498933246992
40800,181.78,18.178,0.0,0,0.0,0.1976967190294707
40900,182.18,18.218,0.0,0,0.0,0.1973078258004318
41000,182.6,18.259999999999998,0.0,0,0.0,0.1969011256576401
41100,183.04,18.304,0.0,0,0.0,0.19647684724732334
41200,183.4,18.34,0.0,0,0.0,0.19613106346026957
41300,183.86,18.386000000000003,0.0,0,0.0,0.19569098998385903
41400,184.3,18.43,0.0,0,0.0,0.19527188802645865
41500,184.62,18.462,0.0,0,0.0,0.1949682086815852
41600,185.02,18.502000000000002,0.0,0,0.0,0.19458993085347456
41700,185.48,18.548,0.0,0,0.0,0.19415671608262847
41800,185.94,18.594,0.0,0,0.0,0.1937254197329396
41900,186.32,18.631999999999998,0.0,0,0.0,0.19337056941447162
42000,186.58,18.658,0.0,0,0.0,0.19312852276729925
42100,187.16,18.716,0.0,0,0.0,0.19259074310679286
42200,187.5,18.75,0.0,0,0.0,0.1922768787053357
42300,187.88,18.788,0.0,0,0.0,0.19192729367519681
42400,188.26,18.826,0.0,0,0.0,0.19157897352686112
42500,188.66,18.866,0.0,0,0.0,0.1912136797262488
42600,189.04,18.904,0.0,0,0.0,0.19086793457470455
42700,189.36,18.936,0.0,0,0.0,0.19057774605865577
42800,189.82,18.982,0.0,0,0.0,0.19016213781673852
42900,190.18,19.018,0.0,0,0.0,0.18983813758345833
43000,190.54,19.054,0.0,0,0.0,0.18951523615867158
43100,191.02,19.102,0.0,0,0.0,0.18908640057683723
43200,191.3,19.130000000000003,0.0,0,0.0,0.18883713882614467
43300,191.78,19.178,0.0,0,0.0,0.18841135383834
43400,192.08,19.208000000000002,0.0,0,0.0,0.18814620895967762
43500,192.48,19.247999999999998,0.0,0,0.0,0.18779383764590513
43600,192.76,19.276,0.0,0,0.0,0.18754795967940702
43700,193.1,19.31,0.0,0,0.0,0.18725025521453414
43800,193.5,19.35,0.0,0,0.0,0.18690121884225078
43900,193.96,19.396,0.0,0,0.0,0.1865014274532332
44000,194.22,19.422,0.0,0,0.0,0.1862762118285663
44100,194.52,19.452,0.0,0,0.0,0.18601702061476347
44200,194.82,19.482,0.0,0,0.0,0.185758547584409
44300,195.12,19.512,0.0,0,0.0,0.18550078976638004
44400,195.56,19.556,0.0,0,0.0,0.18512403253381637
44500,195.92,19.592,0.0,0,0.0,0.1848169097586347
